"freq,nrg_bal,siec,unit,geo\TIME_PERIOD"	2021	2022	2023	2024
"A,DL,C0350,TJ_GCV,AL"	0	0	0	0
"A,DL,C0350,TJ_GCV,AT"	8.046	10.223	19.655	9.935
"A,DL,C0350,TJ_GCV,BA"	39	104	104	: 
"A,DL,C0350,TJ_GCV,BE"	0	0	0	0
"A,DL,C0350,TJ_GCV,BG"	0	0	0	0
"A,DL,C0350,TJ_GCV,CY"	0	0	0	0
"A,DL,C0350,TJ_GCV,CZ"	455.761	460.998	320.83	177.851
"A,DL,C0350,TJ_GCV,DE"	0	0	0	0
"A,DL,C0350,TJ_GCV,DK"	0	0	0	0
"A,DL,C0350,TJ_GCV,EA20"	1775.046	152.223	233.655	318.935
"A,DL,C0350,TJ_GCV,EA21"	1775.046	152.223	233.655	318.935
"A,DL,C0350,TJ_GCV,EE"	0	0	0	0
"A,DL,C0350,TJ_GCV,EL"	0	0	0	0
"A,DL,C0350,TJ_GCV,ES"	1588	0	0	0
"A,DL,C0350,TJ_GCV,EU27_2020"	2538.807	947.221	819.485	780.149
"A,DL,C0350,TJ_GCV,FI"	46	24	83	148
"A,DL,C0350,TJ_GCV,FR"	0	0	0	0
"A,DL,C0350,TJ_GCV,GE"	0	0	0	0
"A,DL,C0350,TJ_GCV,HR"	0	0	0	0
"A,DL,C0350,TJ_GCV,HU"	177	0	67	1
"A,DL,C0350,TJ_GCV,IE"	0	0	0	0
"A,DL,C0350,TJ_GCV,IS"	0	0	0	0
"A,DL,C0350,TJ_GCV,IT"	0	0	0	0
"A,DL,C0350,TJ_GCV,LI"	0	0	0	0
"A,DL,C0350,TJ_GCV,LT"	0	0	0	0
"A,DL,C0350,TJ_GCV,LU"	0	0	0	0
"A,DL,C0350,TJ_GCV,LV"	0	0	0	0
"A,DL,C0350,TJ_GCV,MD"	0	0	0	0
"A,DL,C0350,TJ_GCV,ME"	0	0	0	0
"A,DL,C0350,TJ_GCV,MK"	0	0	0	0
"A,DL,C0350,TJ_GCV,MT"	0	0	0	0
"A,DL,C0350,TJ_GCV,NL"	0	0	0	0
"A,DL,C0350,TJ_GCV,NO"	0	0	0	0
"A,DL,C0350,TJ_GCV,PL"	0	0	0	0
"A,DL,C0350,TJ_GCV,PT"	0	0	0	0
"A,DL,C0350,TJ_GCV,RO"	0	0	0	0
"A,DL,C0350,TJ_GCV,RS"	0	0	0	0
"A,DL,C0350,TJ_GCV,SE"	131	334	198	282.363
"A,DL,C0350,TJ_GCV,SI"	0	0	0	0
"A,DL,C0350,TJ_GCV,SK"	133	118	131	161
"A,DL,C0350,TJ_GCV,TR"	0	0	0	0
"A,DL,C0350,TJ_GCV,UA"	: 	: 	: 	: 
"A,DL,C0350,TJ_GCV,UK"	: 	: 	: 	: 
"A,DL,C0350,TJ_GCV,XK"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,AL"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,AT"	594.524	468.063	418.611	379.44
"A,DL,C0350-0370,TJ_GCV,BA"	39	473	104	: 
"A,DL,C0350-0370,TJ_GCV,BE"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,BG"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,CY"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,CZ"	1568.046	1493.726	955.191	787.132
"A,DL,C0350-0370,TJ_GCV,DE"	15771.543	11774.895	8777.248	21192.794
"A,DL,C0350-0370,TJ_GCV,DK"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,EA20"	21212.067	14360.958	12168.859	24544.234
"A,DL,C0350-0370,TJ_GCV,EA21"	21212.067	14360.958	12168.859	24544.234
"A,DL,C0350-0370,TJ_GCV,EE"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,EL"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,ES"	2206	0	0	0
"A,DL,C0350-0370,TJ_GCV,EU27_2020"	24936.052	17940.746	14602.593	27463.743
"A,DL,C0350-0370,TJ_GCV,FI"	389	335	520	935
"A,DL,C0350-0370,TJ_GCV,FR"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,GE"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,HR"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,HU"	466	144	100	1
"A,DL,C0350-0370,TJ_GCV,IE"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,IS"	0	0	0	0
"A,DL,C0350-0370,TJ_GCV,IT"	0	0	0	0
