"freq,stk_flow,siec,unit,geo\TIME_PERIOD"	2022	2023	2024
"A,STKCL_ABR,G3000,MIO_M3,AL"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,AT"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,BA"	0	0	: 
"A,STKCL_ABR,G3000,MIO_M3,BE"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,BG"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,CY"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,CZ"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,DE"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,DK"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,EA20"	781.19	741.35	708.1
"A,STKCL_ABR,G3000,MIO_M3,EA21"	781.19	741.35	708.1
"A,STKCL_ABR,G3000,MIO_M3,EE"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,EL"	61.19	21.05	0
"A,STKCL_ABR,G3000,MIO_M3,ES"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,EU27_2020"	873.576	752.061	708.1
"A,STKCL_ABR,G3000,MIO_M3,FI"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,FR"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,GE"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,HR"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,HU"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,IE"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,IS"	: 	0	: 
"A,STKCL_ABR,G3000,MIO_M3,IT"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,LI"	0	0	: 
"A,STKCL_ABR,G3000,MIO_M3,LT"	206	177.3	133.1
"A,STKCL_ABR,G3000,MIO_M3,LU"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,LV"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,MD"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,ME"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,MK"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,MT"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,NL"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,NO"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,PL"	92.386	10.711	: 
"A,STKCL_ABR,G3000,MIO_M3,PT"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,RO"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,RS"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,SE"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,SI"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,SK"	514	543	575
"A,STKCL_ABR,G3000,MIO_M3,TR"	0	0	0
"A,STKCL_ABR,G3000,MIO_M3,UA"	0	: 	: 
"A,STKCL_ABR,G3000,MIO_M3,UK"	: 	: 	: 
"A,STKCL_ABR,G3000,MIO_M3,XK"	0	0	0
"A,STKCL_ABR,G3000,TJ_GCV,AL"	0	0	0
"A,STKCL_ABR,G3000,TJ_GCV,AT"	0	0	0
"A,STKCL_ABR,G3000,TJ_GCV,BA"	0	0	: 
