freq,stk_flow,siec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,STKCL_NAT,O4000,THS_T,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	242.000 	549.000 	203.000 	16.000 	58.241 	16.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,STKCL_NAT,O4000,THS_T,AT	3834.000 	3818.000 	3897.000 	3543.000 	3527.000 	3413.000 	3356.000 	3178.000 	3406.000 	3400.000 	3159.000 	2763.000 	2985.000 	3100.000 	3458.000 	3263.029 	3609.409 	3464.984 	3508.343 	3531.058 	3324.637 	3224.768 	3233.536 	3176.939 	3144.968 	3293.143 	3097.035 	2882.756 	2826.189 	2939.906 	3227.345 	2655.074 	2578.842 	2621.652 	2699.089 
A,STKCL_NAT,O4000,THS_T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	102.543 	0.000 	0.000 	0.000 	0.000 	: 
A,STKCL_NAT,O4000,THS_T,BE	3827.000 	4003.000 	4043.000 	3881.000 	4124.000 	4016.000 	4152.000 	4027.000 	4574.000 	3610.000 	3659.000 	3892.000 	3592.000 	3877.000 	3825.000 	4060.000 	4324.000 	3492.000 	3918.000 	3786.000 	4242.000 	4420.000 	4225.000 	4803.000 	5120.000 	6256.000 	5903.000 	5040.000 	5271.800 	5780.400 	6475.300 	5337.700 	5517.900 	5579.100 	5315.900 
A,STKCL_NAT,O4000,THS_T,BG	1299.000 	1469.000 	1004.000 	1167.000 	1091.000 	1133.000 	1228.000 	1245.000 	1204.000 	998.000 	881.000 	854.000 	837.000 	764.000 	714.000 	886.000 	858.000 	942.000 	947.000 	1058.000 	1142.000 	1104.000 	1059.000 	1259.000 	1244.000 	1354.000 	1417.000 	1525.913 	1367.967 	1515.512 	1412.897 	1298.521 	1611.310 	1750.930 	1652.061 
A,STKCL_NAT,O4000,THS_T,CY	176.000 	196.000 	202.000 	280.000 	223.000 	284.000 	285.000 	274.000 	241.000 	332.000 	348.000 	276.000 	339.000 	271.000 	216.000 	278.000 	395.000 	357.000 	362.000 	323.000 	442.000 	318.000 	347.000 	370.000 	321.000 	390.000 	417.000 	449.111 	427.209 	427.618 	462.324 	433.934 	447.471 	514.716 	455.452 
A,STKCL_NAT,O4000,THS_T,CZ	853.000 	740.000 	768.000 	759.000 	970.000 	1138.000 	1148.000 	1625.000 	2031.000 	2001.000 	2016.000 	2173.000 	2063.000 	2173.000 	2147.000 	2487.000 	2637.000 	2719.000 	2851.000 	2863.000 	2828.000 	2761.000 	2688.000 	2641.000 	2698.000 	2726.000 	2699.000 	2646.000 	2800.000 	2734.000 	2952.000 	2764.000 	2843.000 	2876.000 	2855.000 
A,STKCL_NAT,O4000,THS_T,DE	37680.000 	38806.000 	41801.000 	41832.000 	42299.000 	40746.000 	40802.000 	40108.000 	42980.000 	38819.000 	36240.000 	36393.000 	33680.000 	35900.000 	35224.000 	37219.000 	37311.000 	36226.000 	36798.000 	37480.000 	37813.000 	37025.000 	38036.000 	38203.000 	37567.000 	37678.000 	37637.000 	36860.000 	35863.000 	36564.000 	36616.000 	35721.000 	35872.000 	34915.000 	35322.000 
A,STKCL_NAT,O4000,THS_T,DK	4394.000 	4189.000 	3996.000 	3523.000 	3527.000 	3634.000 	3461.000 	3206.000 	3573.000 	2992.000 	2665.000 	2931.000 	2616.000 	2574.000 	2451.000 	3016.000 	2732.000 	2579.000 	3280.000 	3594.000 	3788.000 	3049.000 	2965.000 	3274.000 	3517.066 	4344.791 	4151.998 	3120.628 	2693.490 	3619.802 	4362.939 	3170.036 	3244.152 	2894.125 	2916.461 
A,STKCL_NAT,O4000,THS_T,EA20	125284.800 	125020.800 	131506.800 	129467.800 	132371.800 	129415.800 	129323.800 	129022.800 	135412.800 	126809.800 	130566.021 	128617.335 	127305.066 	130619.609 	131352.121 	135861.178 	139106.015 	135721.715 	139198.147 	138324.031 	137223.528 	133312.091 	132548.816 	134531.789 	133015.668 	141081.717 	138381.960 	132506.119 	129473.995 	133249.675 	137009.765 	122332.041 	129327.968 	123930.726 	124647.238 
A,STKCL_NAT,O4000,THS_T,EA21	126583.8 	126489.8 	132510.8 	130634.8 	133462.8 	130548.8 	130551.8 	130267.8 	136616.8 	127807.8 	131447.021 	129471.335 	128142.066 	131383.609 	132066.121 	136747.178 	139964.015 	136663.715 	140145.147 	139382.031 	138365.528 	134416.091 	133607.816 	135790.789 	134259.668 	142435.717 	139798.96 	134032.032 	130841.962 	134765.187 	138422.662 	123630.562 	130939.278 	125681.656 	: 
A,STKCL_NAT,O4000,THS_T,EE	507.000 	256.000 	190.000 	170.000 	175.000 	234.000 	255.000 	217.000 	233.000 	154.000 	166.000 	109.000 	119.000 	100.000 	93.000 	82.000 	137.000 	189.000 	146.000 	200.000 	166.000 	169.000 	172.000 	203.000 	218.000 	227.000 	239.000 	318.000 	254.000 	314.000 	393.000 	307.000 	343.000 	317.000 	314.000 
A,STKCL_NAT,O4000,THS_T,EL	3681.000 	3568.000 	4357.000 	4768.000 	2972.000 	3161.000 	3200.000 	3613.000 	4325.000 	3473.000 	3819.000 	3706.000 	4522.000 	3949.000 	5057.000 	4671.000 	5012.000 	5317.000 	5639.000 	5101.000 	4974.000 	4104.000 	4453.000 	3783.000 	3878.000 	4761.000 	4886.000 	4748.231 	4678.982 	4208.980 	5009.043 	4265.217 	4522.280 	4229.678 	4216.461 e
A,STKCL_NAT,O4000,THS_T,ES	10804.000 	10333.000 	10403.000 	10721.000 	11323.000 	12955.000 	12859.000 	13334.000 	14493.000 	14933.000 	15874.000 	15707.000 	16886.000 	16887.000 	16667.000 	17785.000 	18568.000 	18448.000 	18837.000 	18143.000 	18164.000 	18157.000 	16278.000 	15066.000 	16388.000 	17872.000 	17664.000 	16408.000 	15841.000 	16950.000 	16663.000 	14228.319 	14848.813 	14285.290 	14477.626 
