Flow,Added info,Amount in dataset,Unit in dataset,Amount_tonnes,Carrier,Type,Source
"Crude oil, NGL, refinery feedstocks, additives and oxygenates and other hydrocarbons",Indigenous production,"19,057.031",thousand_tonnes,"19,057,031.",Crude oil,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
"Crude oil, NGL, refinery feedstocks, additives and oxygenates and other hydrocarbons",Imports,"497,079.537",thousand_tonnes,"497,079,537.",Crude oil,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
"Crude oil, NGL, refinery feedstocks, additives and oxygenates and other hydrocarbons",Exports,"14,406.378",thousand_tonnes,"14,406,378.",Crude oil,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
"Crude oil, NGL, refinery feedstocks, additives and oxygenates and other hydrocarbons",Change in stock,"4,042.544",thousand_tonnes,"4,042,544.",Crude oil,Stock,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Oil products,Imports,"288,398.077",thousand_tonnes,"288,398,077.",Refined oil,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Oil products,Exports,"299,995.871",thousand_tonnes,"299,995,871.",Refined oil,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Oil products,Change in stock,"2,165.148",thousand_tonnes,"2,165,148.",Refined oil,Stock,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Oil products,International maritime bunkers,"39,641.986",thousand_tonnes,"39,641,986.",Refined oil,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Hard coal,Indigenous production,"49,721.789",thousand_tonnes,"49,721,789.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Hard coal,Imports,"92,422.554",thousand_tonnes,"92,422,554.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Hard coal,Exports,"10,291.620",thousand_tonnes,"10,291,620.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Hard coal,Change in stock,"-3,499.952",thousand_tonnes,"-3,499,952.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Anthracite,Imports,"1,420.663",thousand_tonnes,"1,420,663.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Anthracite,Exports,260.275,thousand_tonnes,"260,275.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Anthracite,Change in stock,87.401,thousand_tonnes,"87,401.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Lignite,Indigenous production,"224,909.414",thousand_tonnes,"224,909,414.",Lignite,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Lignite,Imports,805.566,thousand_tonnes,"805,566.",Lignite,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Lignite,Exports,"2,716.868",thousand_tonnes,"2,716,868.",Lignite,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Lignite,Change in stock,"-2,398.580",thousand_tonnes,"-2,398,580.",Lignite,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coking coal,Indigenous production,"12,442.679",thousand_tonnes,"12,442,679.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coking coal,Imports,"31,964.361",thousand_tonnes,"31,964,361.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coking coal,Exports,"3,860.104",thousand_tonnes,"3,860,104.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coking coal,Change in stock,118.625,thousand_tonnes,"118,625.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Other bituminous coal,Indigenous production,"37,279.110",thousand_tonnes,"37,279,110.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Other bituminous coal,Imports,"59,037.530",thousand_tonnes,"59,037,530.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Other bituminous coal,Exports,"6,171.241",thousand_tonnes,"6,171,241.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Other bituminous coal,Change in stock,"-3,705.978",thousand_tonnes,"-3,705,978.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Indigenous production,"224,909.414",thousand_tonnes,"224,909,414.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Imports,"1,574.814",thousand_tonnes,"1,574,814.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Exports,"2,719.968",thousand_tonnes,"2,719,968.",Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Change in stock,"-2,531.659",thousand_tonnes,"-2,531,659.",Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Imports,769.248,thousand_tonnes,"769,248.",Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
