Source,Target,Value TJ,Value tonne Carbon,Flow_shape
Solid fossil fuels,Transformation input - energy use,5570668.00,143723234.4,
Solid fossil fuels,Transformation output,941317.00,24285978.6,
Solid fossil fuels,Energy sector - energy use,16621.00,428821.8,
Solid fossil fuels,Distribution losses,1504.00,38803.2,
Solid fossil fuels,Available for final consumption,591258.00,15254456.4,
Solid fossil fuels,Statistical differences,-56674.00,-1462189.2,
Solid fossil fuels,Final consumption - non-energy use,57463.00,1482545.4,
Solid fossil fuels,Final consumption - energy use,590469.00,15234100.2,
Solid fossil fuels,Gross electricity production,1147289.00,29600056.2,
Solid fossil fuels,Gross heat production,354946.00,9157606.8,
Manufactured gases,Transformation input - energy use,229390.00,3601423.00,
Manufactured gases,Transformation output,631719.00,9917988.30,
Manufactured gases,Energy sector - energy use,204627.00,3212643.90,
Manufactured gases,Distribution losses,14521.00,227979.70,
Manufactured gases,Available for final consumption,183182.00,2875957.40,
Manufactured gases,Statistical differences,-1036.00,-16265.20,
Manufactured gases,Final consumption - non-energy use,699.00,10974.30,
Manufactured gases,Final consumption - energy use,183519.00,2881248.30,
Manufactured gases,Gross electricity production,80650.00,1266205.00,
Manufactured gases,Gross heat production,24948.00,391683.60,
Peat and peat products,Transformation input - energy use,25866.00,747527.4,
Peat and peat products,Transformation output,639.00,18467.1,
Peat and peat products,Energy sector - energy use,282.00,8149.8,
Peat and peat products,Distribution losses,17.00,491.3,
Peat and peat products,Available for final consumption,13632.00,393964.8,
Peat and peat products,Statistical differences,3003.00,86786.7,
Peat and peat products,Final consumption - non-energy use,0.00,0,
Peat and peat products,Final consumption - energy use,10629.00,307178.1,
Peat and peat products,Gross electricity production,4869.00,140714.1,
Peat and peat products,Gross heat production,14484.00,418587.6,
Oil shale and oil sands,Transformation input - energy use,102085.00,2970673.5,
Oil shale and oil sands,Transformation output,0.00,0,
Oil shale and oil sands,Energy sector - energy use,0.00,0,
Oil shale and oil sands,Distribution losses,0.00,0,
Oil shale and oil sands,Available for final consumption,-3383.00,-98445.3,
Oil shale and oil sands,Statistical differences,-6457.00,-187898.7,
Oil shale and oil sands,Final consumption - non-energy use,3073.00,89424.3,
Oil shale and oil sands,Final consumption - energy use,0.00,0,
Oil shale and oil sands,Gross electricity production,7114.00,207017.4,
Oil shale and oil sands,Gross heat production,1240.00,36084,
Natural gas,Transformation input - energy use,3637555.00,55654591.5,
Natural gas,Transformation output,121050.00,1852065,
Natural gas,Energy sector - energy use,345513.00,5286348.9,
Natural gas,Distribution losses,47403.00,725265.9,
Natural gas,Available for final consumption,7494135.00,114660265.5,
Natural gas,Statistical differences,-64771.00,-990996.3,
Natural gas,Final consumption - non-energy use,392192.00,6000537.6,
Natural gas,Final consumption - energy use,7166714.00,109650724.2,
Natural gas,Gross electricity production,1665135.00,25476565.5,
Natural gas,Gross heat production,640143.00,9794187.9,
Oil and petroleum products (excluding biofuel portion),Transformation input - energy use,27578560.00,551571200,
Oil and petroleum products (excluding biofuel portion),Transformation output,27030999.00,540619980,
Oil and petroleum products (excluding biofuel portion),Energy sector - energy use,1112035.00,22240700,
Oil and petroleum products (excluding biofuel portion),Distribution losses,287.00,5740,
Oil and petroleum products (excluding biofuel portion),Available for final consumption,16220630.00,324412600,
Oil and petroleum products (excluding biofuel portion),Statistical differences,-45024.00,-900480,
Oil and petroleum products (excluding biofuel portion),Final consumption - non-energy use,2612019.00,52240380,
Oil and petroleum products (excluding biofuel portion),Final consumption - energy use,13653635.00,273072700,
Oil and petroleum products (excluding biofuel portion),Gross electricity production,172315.00,3446300,
,,,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
