Flow,Added info,Amount in dataset,Unit in dataset,Amount_tonnes,Carrier,Type,Source
"Crude oil, NGL, refinery feedstocks, additives and oxygenates and other hydrocarbons",Indigenous production,19057.03,thousand_tonnes,19057031.00,Crude oil,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
"Crude oil, NGL, refinery feedstocks, additives and oxygenates and other hydrocarbons",Imports,497079.54,thousand_tonnes,497079537.00,Crude oil,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
"Crude oil, NGL, refinery feedstocks, additives and oxygenates and other hydrocarbons",Exports,14406.38,thousand_tonnes,14406378.00,Crude oil,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
"Crude oil, NGL, refinery feedstocks, additives and oxygenates and other hydrocarbons",Change in stock,4042.54,thousand_tonnes,4042544.00,Crude oil,Stock,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Oil products,Imports,288398.08,thousand_tonnes,288398077.00,Refined oil,Inflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Oil products,Exports,299995.87,thousand_tonnes,299995871.00,Refined oil,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Oil products,Change in stock,2165.15,thousand_tonnes,2165148.00,Refined oil,Stock,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Oil products,International maritime bunkers,39641.99,thousand_tonnes,39641986.00,Refined oil,Outflow,https://ec.europa.eu/eurostat/databrowser/view/NRG_CB_OIL__custom_11906154/default/table?lang=en
Hard coal,Indigenous production,49721.79,thousand_tonnes,49721789.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Hard coal,Imports,92384.17,thousand_tonnes,92384173.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Hard coal,Exports,10239.62,thousand_tonnes,10239620.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Hard coal,Change in stock,-3508.70,thousand_tonnes,-3508698.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Anthracite,Imports,1448.41,thousand_tonnes,1448410.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Anthracite,Exports,260.28,thousand_tonnes,260275.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Anthracite,Change in stock,68.22,thousand_tonnes,68216.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Lignite,Indigenous production,224909.41,thousand_tonnes,224909414.00,Brown coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Lignite,Imports,805.57,thousand_tonnes,805566.00,Brown coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Lignite,Exports,2716.87,thousand_tonnes,2716868.00,Brown coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Lignite,Change in stock,-2383.01,thousand_tonnes,-2383009.00,Brown coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coking coal,Indigenous production,12442.68,thousand_tonnes,12442679.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coking coal,Imports,31963.15,thousand_tonnes,31963153.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coking coal,Exports,3860.10,thousand_tonnes,3860104.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Coking coal,Change in stock,118.63,thousand_tonnes,118625.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Other bituminous coal,Indigenous production,37279.11,thousand_tonnes,37279110.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Other bituminous coal,Imports,58972.61,thousand_tonnes,58972610.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Other bituminous coal,Exports,6119.24,thousand_tonnes,6119241.00,Hard coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Other bituminous coal,Change in stock,-3695.54,thousand_tonnes,-3695539.00,Hard coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Indigenous production,224909.41,thousand_tonnes,224909414.00,Brown coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Imports,1574.81,thousand_tonnes,1574814.00,Brown coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Exports,2719.97,thousand_tonnes,2719968.00,Brown coal,Outflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Brown coal,Change in stock,-2516.09,thousand_tonnes,-2516088.00,Brown coal,Stock,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
Sub-bituminous coal,Imports,769.25,thousand_tonnes,769248.00,Hard coal,Inflow,https://ec.europa.eu/eurostat/databrowser/bookmark/da69b178-3a1a-446b-a755-dee1c50c7a86?lang=en
