Source,Target,Value_tC,Carrier,Flow,flow_type,,,,,,,,,
Import,Fossil inflow,420529288.3,Crude oil,Fossil,Inflow,,,,,,,,,
Import,Fossil inflow,66174548.66,Hard coal,Fossil,Inflow,,,,,,,,,
Import,Fossil inflow,516538.992,Brown coal,Fossil,Inflow,,,,,,,,,
Import,Fossil inflow,22482.45,Peat,Fossil,Inflow,,,,,,,,,
Import,Fossil inflow,191635213.3,Gas,Fossil,Inflow,,,,,,,,,
Indigenous production,Fossil inflow,16122248.23,Crude oil,Fossil,Inflow,,,,,,,,,
Indigenous production,Fossil inflow,35600800.92,Hard coal,Fossil,Inflow,,,,,,,,,
Indigenous production,Fossil inflow,73770287.79,Brown coal,Fossil,Inflow,,,,,,,,,
Indigenous production,Fossil inflow,538807.248,Peat,Fossil,Inflow,,,,,,,,,
Indigenous production,Fossil inflow,11335021.87,Crude oil,Fossil,Inflow,,,,,,,,,
Indigenous production,Fossil inflow,18754272.92,Gas,Fossil,Inflow,,,,,,,,,
Fossil inflow,Exports,12187795.79,Crude oil,Fossil,Outflow,,,,,,,,,
Fossil inflow,Exports,7368799.92,Hard coal,Fossil,Outflow,,,,,,,,,
Fossil inflow,Exports,892149.504,Brown coal,Fossil,Outflow,,,,,,,,,
Fossil inflow,Exports,8079.018,Peat,Fossil,Outflow,,,,,,,,,
Fossil inflow,Exports,34314175.18,Gas,Fossil,Outflow,,,,,,,,,
Fossil inflow,International bunkers,278359.9992,Gas,Fossil,Outflow,,,,,,,,,
Released stocks,Fossil inflow,2505965.632,Hard coal,Fossil,Inflow,,,,,,,,,
Released stocks,Fossil inflow,830384.152,Brown coal,Fossil,Inflow,,,,,,,,,
Released stocks,Fossil inflow,1156683.348,Crude oil,Fossil,Inflow,,,,,,,,,
Released stocks,Fossil inflow,1262136.994,Gas,Fossil,Inflow,,,,,,,,,
Fossil inflow,Stock,3419992.224,Crude oil,Fossil,Stock,,,,,,,,,
Fossil inflow,Stock,442333.356,Peat,Fossil,Stock,,,,,,,,,
Fossil inflow,Transformation,433535410.00,Crude oil,Fossil,Refinery,,,,,,,,,
Fossil inflow,Transformation,177059100.00,Gas,Fossil,Refinery,,,,,,,,,
Fossil inflow,Transformation,74225060.00,Brown coal,Fossil,Refinery,,,,,,,,,
Fossil inflow,Transformation,96912520.00,Hard coal,Fossil,Refinery,,,,,,,,,
Fossil inflow,Transformation,110877.30,Peat,Fossil,Refinery,,,,,,,,,
Transformation,Energy production,5595362.29,Mixed,Fossil,Internal,,,,,,,,,
Transformation,Transport,213312613.42,Mixed,Fossil,Internal,,,,,,,,,
Transformation,Manufacturing industries and construction,96745295.93,Mixed,Fossil,Internal,,,,,,,,,
Transformation,Energy industries,186165760.13,Mixed,Fossil,Internal,,,,,,,,,
Transformation,Other,119136269.19,Mixed,Fossil,Internal,,,,,,,,,
Transformation,International bunkers,65594988.63,Mixed,Fossil,Sink,,,,,,,,,
Transformation,Multilateral operations,290.09,Mixed,Fossil,Internal,,,,,,,,,
