Flow,Added info,Unit in dataset,#CO2 in dataset,Amount_tonnes_CO2,#CH4 in dataset,Amount_tonnes_CH4,#CO in dataset,Amount_tonnes_CO,Sankey node flow name,Type,Source
1.A.1. Energy industries,1.A.1.a. Public electricity and heat production,thousand_tonnes,567984.1094,567984109.4,119.3566978,119356.6978,283.6814847,283681.4847,Energy production,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c441
,1.A.1.b. Petroleum refining,thousand_tonnes,92901.36278,92901362.78,2.359067881,2359.067881,17.54960913,17549.60913,Energy,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c442
,1.A.1.c. Manufacture of solid fuels and other energy industries,thousand_tonnes,27653.02992,27653029.92,6.357444519,6357.444519,82.13255458,82132.55458,Energy,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c443
1.A.2. Manufacturing industries and construction,1.A.2.a. Iron and steel,thousand_tonnes,67597.94704,67597947.04,4.597164908,4597.164908,613.2171556,613217.1556,Manufacturing,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c444
,1.A.2.b. Non-ferrous metals,thousand_tonnes,7721.145915,7721145.915,0.391923416,391.9234163,12.2627147,12262.7147,Manufacturing,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c445
,1.A.2.c. Chemicals,thousand_tonnes,47405.60895,47405608.95,14.30841709,14308.41709,31.22966901,31229.66901,Manufacturing,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c446
,"1.A.2.d. Pulp, paper and print",thousand_tonnes,16207.28522,16207285.22,8.440339566,8440.339566,54.57698982,54576.98982,Manufacturing,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c447
,"1.A.2.e. Food processing, beverages and tobacco",thousand_tonnes,31823.0275,31823027.5,17.29673523,17296.73523,41.22039147,41220.39147,Manufacturing,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c448
,1.A.2.f. Non-metallic minerals,thousand_tonnes,70889.68146,70889681.46,9.644524009,9644.524009,228.3376777,228337.6777,Manufacturing,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c449
,1.A.2.g. Other ,thousand_tonnes,114345.1253,114345125.3,20.39341533,20393.41533,353.1259366,353125.9366,Manufacturing,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c450
1.A.3. Transport,1.A.3.a. Domestic aviation,thousand_tonnes,13053.98396,13053983.96,0.222930628,222.9306283,47.12628335,47126.28335,Transport,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c451
,1.A.3.b. Road transportation,thousand_tonnes,749089.7812,749089781.2,38.15863764,38158.63764,2353.026356,2353026.356,Transport,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c452
,1.A.3.c. Railways,thousand_tonnes,3226.42297,3226422.97,0.193690377,193.6903774,10.70874368,10708.74368,Transport,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c453
,1.A.3.d. Domestic navigation,thousand_tonnes,16232.3433,16232343.3,3.090667203,3090.667203,222.7922105,222792.2105,Transport,Outflow,https://www.eea.europa.eu/en/analysis/publications/annual-european-union-greenhouse-gas-inventory-2025?activeTab=13e424cd-5934-4614-92ef-e6be8d05c454
