Source,Target,Value_tC,Carrier,Flow,flow_type,,,
Import,Material input,17582565.66,Organic Chemicals,Mixed,Inflow,,,
Import,Material input,184651.042,Pharmaceutical Products,Mixed,Inflow,,,
Import,Material input,10200759.18,Chemical products,Mixed,Inflow,,,
Import,Material input,15050898.14,Plastic materials & products,Mixed,Inflow,,,
Import,Material input,4830723.642,Rubber materials & products,Mixed,Inflow,,,
Import,Material input,4797162.737,Textiles,Mixed,Inflow,,,
Import,Material input,1245251.99,Toys & sporting goods,Mixed,Inflow,,,
Material input,Export,7478607.494,Organic Chemicals,Mixed,Outflow,,,
Material input,Export,546100.8962,Pharmaceutical Products,Mixed,Outflow,,,
Material input,Export,11469270.33,Chemical products,Mixed,Outflow,,,
Material input,Export,14636220.51,Plastic materials & products,Mixed,Outflow,,,
Material input,Export,3930604.6,Rubber materials & products,Mixed,Outflow,,,
Material input,Export,1842603.15,Textiles,Mixed,Outflow,,,
Material input,Export,370576.1775,Toys & sporting goods,Mixed,Outflow,,,
,,,,,,,,
,,,,,,,,
