Source,Target,Value_tC,Carrier,Flow,flow_type,,,,,,,,,,,,,,
Import,Mineral inflow,219707.64,Limestone,Mineral,Inflow,,,,,,,,,,,,,,
Import,Mineral inflow,64668,Chalk,Mineral,Inflow,,,,,,,,,,,,,,
Actual production quantity,Mineral inflow,30261161.7,Limestone,Mineral,Inflow,,,,,,,,,,,,,,
Actual production quantity,Mineral inflow,1207840.22,Chalk,Mineral,Inflow,,,,,,,,,,,,,,
Mineral inflow,Export,1330630.92,Limestone,Mineral,Outflow,,,,,,,,,,,,,,
Mineral inflow,Export,81838.2,Chalk,Mineral,Outflow,,,,,,,,,,,,,,
Mineral inflow,Cement production,16523392.5,Mixed,Mineral,Internal,,,,,,,,,,,,,,
Mineral inflow,Lime production,3854263.5,Mixed,Mineral,Internal,,,,,,,,,,,,,,
Mineral inflow,Liming,1403576.1,Mixed,Mineral,Internal,,,,,,,,,,,,,,
Cement production,Emissions,16523392.5,CO2 ,Mineral,Outflow,,,,,,,,,,,,,,
Lime production,Emissions,3854263.5,CO2 ,Mineral,Outflow,,,,,,,,,,,,,,
Liming,Emissions,1403576.1,CO2 ,Mineral,Outflow,,,,,,,,,,,,,,
Mineral inflow,Unaccounted carbon,8559676.34,Mixed,Mineral,Outflow,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
